,R_Axis_Equity,R_CanaraRobeco_Bluechip,R_Franklin_Bluechip,R_ICICI_FocusedEq,R_Kotak_Bluechip,R_Kotak_Flexicap,R_SBI_Bluechip,R_SBI_FocusedEq,R_AdityaBirla_EqHybrid,R_Franklin_EqHybrid,R_HDFC_EqHybrid,R_SBI_EqHybrid,R_Kotak_EqArbitrage,R_SBI_Arbitrage,R_LIC_Bond,R_LIC_DebtHybrid
Daily_Avg_Rtn,0.0006520943472956486,0.0005612037413582757,0.0004932492883285889,0.0005549410329402197,0.000561569743798292,0.0006305408702724685,0.0005997559983733225,0.0005763318422122815,0.0004798291988613258,0.0005172427816185441,0.0004954859699064661,0.0005549816998779992,0.00025075233834892237,0.00024099227328182188,0.0002500203334688898,0.0002728751525010167
StdDev,0.0101323061358126,0.010198159082524047,0.010501961301929263,0.009992263228974884,0.010544943110309795,0.010391872966471372,0.010314744907734513,0.009019806938870152,0.007916954017466053,0.00742096377697629,0.01029785342429169,0.007148811302640131,0.00063745518139621,0.0006841302255580053,0.0019767122125566683,0.002380940454995176
Ann_Rtn,0.16432777551850344,0.14142334282228547,0.12429882065880442,0.13984514030093537,0.14151557543716958,0.15889629930866206,0.15113851159007727,0.14523562423749495,0.12091695811305411,0.13034518096787312,0.12486246441642945,0.1398553883692558,0.06318958926392844,0.060730052867019116,0.06300512403416023,0.0687645384302562
Ann_SD,0.16084537345760389,0.16189075657819957,0.16671346729997366,0.1586222612313768,0.16739578235522198,0.16496586915274986,0.16374149917761238,0.14318499620439118,0.12567774882809332,0.11780414785378714,0.16347335519082434,0.11348386125908096,0.010119287291543634,0.01086023064725404,0.03137933356781516,0.037796257982221255
Sharpe_Ratio,0.6486215504731472,0.5029523892734099,0.3856846222453594,0.503366549443322,0.4869631378417263,0.5994955187796405,0.5565999581524427,0.5952832105105782,0.4847075849232356,0.5971367074033946,0.39677698142743045,0.7036717598720742,0.3151990028580248,0.06722259321478624,0.09576761812566002,0.23188905193680553
