,R_Nifty_50_Arb,R_S&P_BSE_100,R_Nifty_500,R_Nifty_100,R_S&P_BSE_500
Daily_Avg_Rtn,0.00022700284668564458,0.0005150874339162261,0.0005325742171614477,0.0005172021146807646,0.0005312322082147215
StdDev,0.0008744467066148455,0.0107988474330035,0.010634539670973497,0.010741316290434757,0.010596104058714783
Ann_Rtn,0.057204717364782436,0.12980203334688897,0.13420870272468483,0.13033493289955267,0.1338705164701098
Ann_SD,0.013881411122894045,0.171426388523133,0.16881808366227918,0.17051310994786323,0.16820793723312882
Sharpe_Ratio,-0.20136876650871743,0.4071837127775085,0.43957792385050076,0.41248988374593926,0.4391618950045652
